year,avgTemp,minTemp,maxTemp,rainFall,accomodation(1000),concert,culture,food,history,sport,nature,rest,shopping
2015-01-01,3.3,1.7,5.4,4.2,0.421,0.043,0.234,0.67,0.03,0.034,0.285,0.228,0.097
2015-01-02,6.1,3.9,8.5,0,0.424,0.047,0.298,0.75,0.035,0.114,0.524,0.281,0.12
2015-01-03,6.8,3.5,9.6,0,0.42,0.032,0.232,0.696,0.035,0.123,0.603,0.24,0.111
2015-01-04,11.5,7.7,15,0,0.268,0.028,0.123,0.566,0.045,0.067,0.497,0.16,0.081
2015-01-05,12.9,6.8,17.5,0.7,0.229,0,0.109,0.319,0.02,0.058,0.313,0.112,0.047
2015-01-06,7.8,3.9,17.2,0.2,0.191,0.018,0.186,0.294,0.013,0.044,0.263,0.151,0.055
2015-01-07,4.7,3.4,5.8,0,0.18,0.02,0.145,0.34,0.011,0.039,0.233,0.159,0.078
2015-01-08,6.3,5.1,7.6,0,0.24,0.011,0.128,0.32,0.008,0.055,0.3,0.149,0.067
2015-01-09,8,6.5,10,0,0.315,0.01,0.157,0.383,0.014,0.068,0.31,0.149,0.063
2015-01-10,8.6,6.5,11,0,0.379,0.016,0.143,0.523,0.025,0.086,0.475,0.184,0.071
2015-01-11,8.5,5.4,12.1,0,0.271,0.006,0.211,0.602,0.03,0.077,0.495,0.185,0.082
2015-01-12,4.9,3.8,7.9,0,0.246,0.019,0.135,0.321,0.018,0.059,0.317,0.165,0.074
2015-01-13,9.7,4.2,13.7,0,0.221,0.019,0.112,0.379,0.009,0.044,0.356,0.146,0.074
2015-01-14,9.3,8.7,10.7,37.4,0.248,0.045,0.215,0.325,0.015,0.034,0.209,0.143,0.08
2015-01-15,8.4,5.9,10.9,0,0.249,0.029,0.109,0.345,0.021,0.045,0.341,0.128,0.059
2015-01-16,7.7,5.3,9.4,0.1,0.279,0.028,0.146,0.364,0.023,0.049,0.29,0.134,0.08
2015-01-17,5,2.7,8,0,0.376,0.024,0.185,0.592,0.026,0.095,0.436,0.185,0.119
2015-01-18,6,1.2,10.1,0,0.4,0.017,0.149,0.588,0.032,0.05,0.454,0.187,0.093
2015-01-19,8.5,5.9,11,0,0.243,0.011,0.117,0.364,0.02,0.058,0.288,0.138,0.072
2015-01-20,6.9,3.7,9.7,0,0.257,0.003,0.091,0.335,0.012,0.064,0.361,0.139,0.06
2015-01-21,9.2,7.8,10.6,5.8,0.211,0.026,0.189,0.381,0.004,0.036,0.269,0.131,0.078
2015-01-22,7.6,6.5,9,4.7,0.225,0.012,0.106,0.34,0.018,0.058,0.263,0.13,0.095
2015-01-23,6.9,5.4,9.9,0,0.343,0.009,0.131,0.44,0.017,0.083,0.364,0.116,0.085
2015-01-24,8,5,11,0,0.47,0.009,0.178,0.612,0.038,0.127,0.524,0.213,0.113
2015-01-25,11.6,6.9,15.8,9.2,0.343,0.022,0.165,0.591,0.027,0.115,0.447,0.192,0.084
2015-01-26,10.3,7.4,13.6,0,0.233,0.014,0.131,0.409,0.023,0.043,0.316,0.149,0.085
2015-01-27,5.6,3.3,7.6,0,0.192,0.009,0.154,0.41,0.019,0.054,0.375,0.133,0.077
2015-01-28,4.5,3.2,6.4,0,0.231,0.009,0.115,0.367,0.023,0.064,0.366,0.169,0.053
2015-01-29,6.8,4.8,8.1,19.1,0.204,0.028,0.168,0.318,0.011,0.025,0.196,0.141,0.075
2015-01-30,5,3.6,6.7,1,0.227,0.014,0.119,0.4,0.021,0.075,0.232,0.13,0.059
2015-01-31,3.4,2.7,5.1,0,0.321,0.004,0.154,0.568,0.031,0.092,0.372,0.169,0.091
2015-02-01,4.1,0.6,7.7,0,0.259,0.02,0.131,0.653,0.025,0.077,0.461,0.182,0.071
2015-02-02,6,4.3,9.3,0,0.139,0.005,0.065,0.33,0.013,0.03,0.264,0.101,0.068
2015-02-03,6.2,2.8,9.6,0,0.17,0.01,0.09,0.278,0.008,0.045,0.309,0.11,0.056
2015-02-04,6.8,6,7.4,0,0.162,0.007,0.097,0.258,0.009,0.03,0.24,0.102,0.067
2015-02-05,5.5,3.1,6.9,0.3,0.233,0.005,0.096,0.301,0.003,0.028,0.259,0.117,0.073
2015-02-06,6.1,5,7.8,0,0.291,0.012,0.092,0.385,0.007,0.066,0.315,0.098,0.063
2015-02-07,8,5.8,9.7,0.1,0.381,0.013,0.142,0.631,0.017,0.09,0.434,0.147,0.096
2015-02-08,1.7,-0.7,8.8,0.1,0.267,0.018,0.151,0.579,0.017,0.053,0.246,0.138,0.103
2015-02-09,1.8,-0.3,3.6,0.4,0.202,0.008,0.078,0.319,0.01,0.027,0.209,0.083,0.073
2015-02-10,7.1,2.5,9.4,0,0.19,0.015,0.091,0.318,0.021,0.053,0.268,0.109,0.073
2015-02-11,8.9,5.8,12.3,0,0.175,0.007,0.084,0.288,0.017,0.027,0.307,0.123,0.057
2015-02-12,7,4.6,10,0,0.229,0.003,0.102,0.317,0.017,0.035,0.304,0.103,0.062
2015-02-13,4.7,3.3,8.1,0,0.355,0.016,0.111,0.446,0.015,0.073,0.342,0.135,0.048
2015-02-14,8.4,3.1,14.4,0,0.404,0.014,0.141,0.702,0.023,0.104,0.545,0.218,0.085
2015-02-15,12.5,9,14.9,12.8,0.343,0.025,0.286,0.739,0.021,0.048,0.343,0.207,0.112
2015-02-16,11.8,9.8,14.4,3,0.224,0.013,0.126,0.545,0.025,0.082,0.385,0.204,0.074
2015-02-17,8.3,7.3,10,0,0.236,0.012,0.153,0.413,0.015,0.066,0.364,0.148,0.059
2015-02-18,6.5,5.5,7.4,0,0.307,0.017,0.183,0.423,0.02,0.067,0.346,0.172,0.072
2015-02-19,5.7,4,8.9,0,0.423,0.019,0.165,0.561,0.057,0.091,0.626,0.251,0.106
2015-02-20,9.3,3.1,14.9,0,0.473,0.037,0.335,1.027,0.055,0.206,0.878,0.365,0.114
2015-02-21,11.9,9,17.3,5.5,0.369,0.083,0.411,0.896,0.037,0.058,0.428,0.309,0.109
2015-02-22,8.7,6.5,10.8,0.3,0.255,0.016,0.179,0.578,0.022,0.097,0.485,0.178,0.092
2015-02-23,6.9,5.4,9.8,0,0.242,0.007,0.097,0.341,0.027,0.075,0.31,0.153,0.068
2015-02-24,7.9,5.9,10.9,0,0.282,0.011,0.148,0.427,0.022,0.093,0.372,0.149,0.071
2015-02-25,10.3,6.8,12.7,0,0.312,0.017,0.147,0.405,0.028,0.062,0.35,0.16,0.059
2015-02-26,8.8,4.9,11.6,0,0.344,0.015,0.19,0.492,0.022,0.096,0.38,0.174,0.094
2015-02-27,4.2,3.7,5.4,0,0.377,0.016,0.2,0.544,0.038,0.103,0.365,0.202,0.095
2015-02-28,7.9,4.1,9.8,13,0.427,0.023,0.26,0.705,0.029,0.105,0.419,0.225,0.099
2015-03-01,7.3,5.9,9.2,2.6,0.288,0.023,0.153,0.603,0.024,0.071,0.506,0.146,0.105
2015-03-02,7,3.4,10.1,0,0.131,0.007,0.059,0.364,0.01,0.03,0.33,0.095,0.075
2015-03-03,8.4,6.8,10.1,1.3,0.124,0.003,0.096,0.25,0.012,0.022,0.264,0.09,0.062
2015-03-04,4,3.2,6.8,0,0.121,0.011,0.04,0.222,0.027,0.028,0.237,0.098,0.058
2015-03-05,5.4,2.8,7.1,0,0.207,0.007,0.028,0.305,0.014,0.037,0.306,0.084,0.06
2015-03-06,8,6.3,9.3,1.5,0.293,0.005,0.091,0.387,0.006,0.059,0.267,0.11,0.075
2015-03-07,9.3,6.3,12.1,0,0.409,0.008,0.111,0.717,0.017,0.114,0.495,0.173,0.113
2015-03-08,10.7,4,16.1,0,0.301,0.005,0.095,0.797,0.026,0.109,0.588,0.187,0.094
2015-03-09,7.6,2,11.6,9.5,0.188,0.006,0.079,0.386,0.025,0.036,0.316,0.107,0.084
2015-03-10,2.9,0.2,4.1,0.2,0.169,0.013,0.11,0.296,0.011,0.032,0.224,0.112,0.055
2015-03-11,7,3.3,9.7,0,0.155,0.003,0.067,0.278,0.014,0.025,0.343,0.103,0.059
2015-03-12,8.3,6.2,11.3,0,0.222,0.007,0.08,0.367,0.014,0.042,0.367,0.092,0.072
