날짜,평균 풍속,최저 기온,최고 기온,강수량,일일 방문객 수
2018-01-01,3.5,4,8.8,0.001,135138
2018-01-02,2.2,3,10.1,0.001,125122
2018-01-03,3.4,3.5,8.4,0.001,122070
2018-01-04,2.6,2.4,4.6,0.6,123266
2018-01-05,4.1,1.9,6.5,4.2,126084
2018-01-06,3.1,4.8,8.7,0.001,129745
2018-01-07,2.1,4.4,11.5,3.6,124834
2018-01-08,4.5,6.1,11.3,4.1,124999
2018-01-09,7.5,2.8,7,0.4,125870
2018-01-10,8.9,-0.5,5.9,3.4,125548
2018-01-11,7,-2.2,1.7,8.3,111730
2018-01-12,5.1,-2.3,2.3,1.8,127449
2018-01-13,2.7,1.4,6.9,0,133861
2018-01-14,1.8,3.1,12.9,0.001,137372
2018-01-15,2.3,7.8,14.4,0.001,138201
2018-01-16,1.9,8.7,14.4,16.5,137172
2018-01-17,2.9,8.5,11.5,3.8,140035
2018-01-18,2.8,6.3,10.8,0.001,143686
2018-01-19,2,4.3,9.4,0.001,146783
2018-01-20,1.9,2.8,9.9,0.001,154256
2018-01-21,2.3,3.9,11.4,0.001,151148
2018-01-22,4,7.1,10.9,0.7,147374
2018-01-23,5.5,0,7.6,0.3,146104
2018-01-24,5.2,-2.4,1.2,4.5,148060
2018-01-25,5.2,-2.6,-1.2,0,151470
2018-01-26,4.9,-2.1,-0.4,0.1,152887
2018-01-27,2.3,-1.6,3.6,0.001,157920
2018-01-28,3.9,0.5,4.6,2,154836
2018-01-29,5.9,-0.1,4,1.7,149205
2018-01-30,3.4,-0.2,4.1,1.5,142912
2018-01-31,2,2.1,5,0.5,140402
2018-02-01,3.9,3.2,6.8,0,109630
2018-02-02,3.2,1.6,6.1,0.001,113365
2018-02-03,6.3,-0.7,4.9,1.1,114303
2018-02-04,6.8,-2.3,0.8,5.9,104002
2018-02-05,6.3,-1.7,2.6,3.5,100712
2018-02-06,5.9,-2.5,0.8,5.7,92046
2018-02-07,3.1,-1.3,1.9,1.7,101804
2018-02-08,2,-0.7,6.8,3.1,98654
2018-02-09,2.1,1.4,11.2,0.001,105654
2018-02-10,3.7,2.7,7.9,2.2,108955
2018-02-11,6.5,1,5.4,0.8,106606
2018-02-12,7.2,-0.1,4.1,0,103954
2018-02-13,4.2,2.7,8.3,0.001,109116
2018-02-14,3.4,2.5,15.4,0.001,123652
2018-02-15,2.1,4.6,10.5,0,149870
2018-02-16,2.6,3.9,9.7,0.001,168721
2018-02-17,3.4,2.8,7.5,0.001,162284
2018-02-18,1.9,1.7,10.2,0.9,139426
2018-02-19,2.2,5.5,10.5,2.1,120446
2018-02-20,2.5,4.6,11.9,0.001,120113
2018-02-21,3.1,4.2,7.5,0.001,126574
2018-02-22,3.1,3.2,7.6,0.001,134869
2018-02-23,3.2,3.3,13.1,0.001,141894
2018-02-24,2.2,5.3,13.3,0.001,146430
2018-02-25,2,6.7,13.2,0.001,144714
2018-02-26,1.7,4.2,11.9,0.001,139433
2018-02-27,2.5,5.8,15,0.001,135408
2018-02-28,5.6,6.9,17.5,59.6,135772
2018-03-01,5.8,3.3,10.5,0.001,127659
2018-03-02,1.9,2.8,9.1,0.001,135454
2018-03-03,1.8,6,19.2,0.001,137330
2018-03-04,2.7,10.9,23.2,0.8,122364
2018-03-05,3.9,8.2,21.7,3.9,108398
2018-03-06,3.5,8.2,11.3,0.001,105525
2018-03-07,3.8,8.4,11.6,30.1,104965
2018-03-08,5.4,5.1,8.6,18.2,107090
2018-03-09,2.8,4.2,7.8,0.001,117915
2018-03-10,2.7,4.3,11.5,0.001,129756
2018-03-11,1.8,5.1,12.1,0.001,128090
2018-03-12,1.9,7,15.3,0.001,120292
