year,avgTemp,minTemp,maxTemp,rainFall,avgVisitor,ID,10000Visitor
2018-01-01,6.4,4,8.8,0,135138,20180101,13.5138
2018-01-02,7,3,10.1,0,125122,20180102,12.5122
2018-01-03,5,3.5,8.4,0,122070,20180103,12.207
2018-01-04,3.9,2.4,4.6,0.6,123266,20180104,12.3266
2018-01-05,5.1,1.9,6.5,4.2,126084,20180105,12.6084
2018-01-06,6.2,4.8,8.7,0,129745,20180106,12.9745
2018-01-07,8.5,4.4,11.5,3.6,124834,20180107,12.4834
2018-01-08,8.7,6.1,11.3,4.1,124999,20180108,12.4999
2018-01-09,4.9,2.8,7,0.4,125870,20180109,12.587
2018-01-10,2.4,-0.5,5.9,3.4,125548,20180110,12.5548
2018-01-11,0,-2.2,1.7,8.3,111730,20180111,11.173
2018-01-12,0.7,-2.3,2.3,1.8,127449,20180112,12.7449
2018-01-13,4.5,1.4,6.9,0,133861,20180113,13.3861
2018-01-14,7.8,3.1,12.9,0,137372,20180114,13.7372
2018-01-15,10.8,7.8,14.4,0,138201,20180115,13.8201
2018-01-16,12.1,8.7,14.4,16.5,137172,20180116,13.7172
2018-01-17,9.5,8.5,11.5,3.8,140035,20180117,14.0035
2018-01-18,8.9,6.3,10.8,0,143686,20180118,14.3686
2018-01-19,6.8,4.3,9.4,0,146783,20180119,14.6783
2018-01-20,6.1,2.8,9.9,0,154256,20180120,15.4256
2018-01-21,8.5,3.9,11.4,0,151148,20180121,15.1148
2018-01-22,9,7.1,10.9,0.7,147374,20180122,14.7374
2018-01-23,2.1,0,7.6,0.3,146104,20180123,14.6104
2018-01-24,-1.2,-2.4,1.2,4.5,148060,20180124,14.806
2018-01-25,-1.9,-2.6,-1.2,0,151470,20180125,15.147
2018-01-26,-1.3,-2.1,-0.4,0.1,152887,20180126,15.2887
2018-01-27,0.9,-1.6,3.6,0,157920,20180127,15.792
2018-01-28,2.6,0.5,4.6,2,154836,20180128,15.4836
2018-01-29,1.8,-0.1,4,1.7,149205,20180129,14.9205
2018-01-30,2.2,-0.2,4.1,1.5,142912,20180130,14.2912
2018-01-31,3.8,2.1,5,0.5,140402,20180131,14.0402
2018-02-01,4.5,3.2,6.8,0,109630,20180201,10.963
2018-02-02,3.8,1.6,6.1,0,113365,20180202,11.3365
2018-02-03,1.4,-0.7,4.9,1.1,114303,20180203,11.4303
2018-02-04,-0.4,-2.3,0.8,5.9,104002,20180204,10.4002
2018-02-05,0.2,-1.7,2.6,3.5,100712,20180205,10.0712
2018-02-06,-0.6,-2.5,0.8,5.7,92046,20180206,9.2046
2018-02-07,0.6,-1.3,1.9,1.7,101804,20180207,10.1804
2018-02-08,2.5,-0.7,6.8,3.1,98654,20180208,9.8654
2018-02-09,6,1.4,11.2,0,105654,20180209,10.5654
2018-02-10,5.8,2.7,7.9,2.2,108955,20180210,10.8955
2018-02-11,2.5,1,5.4,0.8,106606,20180211,10.6606
2018-02-12,2.7,-0.1,4.1,0,103954,20180212,10.3954
2018-02-13,4.9,2.7,8.3,0,109116,20180213,10.9116
2018-02-14,9.8,2.5,15.4,0,123652,20180214,12.3652
2018-02-15,7.1,4.6,10.5,0,149870,20180215,14.987
2018-02-16,6.1,3.9,9.7,0,168721,20180216,16.8721
2018-02-17,4.4,2.8,7.5,0,162284,20180217,16.2284
2018-02-18,6.7,1.7,10.2,0.9,139426,20180218,13.9426
2018-02-19,8.3,5.5,10.5,2.1,120446,20180219,12.0446
2018-02-20,8.4,4.6,11.9,0,120113,20180220,12.0113
2018-02-21,5.5,4.2,7.5,0,126574,20180221,12.6574
2018-02-22,5,3.2,7.6,0,134869,20180222,13.4869
2018-02-23,8.7,3.3,13.1,0,141894,20180223,14.1894
