date,Original,Predicted
2018-01-01,135138,129485
2018-01-02,125122,127564
2018-01-03,122070,127018
2018-01-04,123266,130409
2018-01-05,126084,136308
2018-01-06,129745,139479
2018-01-07,124834,136663
2018-01-08,124999,130946
2018-01-09,125870,125387
2018-01-10,125548,123979
2018-01-11,111730,124389
2018-01-12,127449,131931
2018-01-13,133861,138227
2018-01-14,137372,135220
2018-01-15,138201,133205
2018-01-16,137172,130022
2018-01-17,140035,131652
2018-01-18,143686,135008
2018-01-19,146783,137626
2018-01-20,154256,138871
2018-01-21,151148,137395
2018-01-22,147374,132017
2018-01-23,146104,119956
2018-01-24,148060,120179
2018-01-25,151470,124066
2018-01-26,152887,129866
2018-01-27,157920,133967
2018-01-28,154836,130750
2018-01-29,149205,124112
2018-01-30,142912,122400
2018-01-31,140402,127000
2018-02-01,109630,129643
2018-02-02,113365,134500
2018-02-03,114303,133519
2018-02-04,104002,127365
2018-02-05,100712,121911
2018-02-06,92046,118864
2018-02-07,101804,123389
2018-02-08,98654,126083
2018-02-09,105654,135359
2018-02-10,108955,139072
2018-02-11,106606,129899
2018-02-12,103954,126037
2018-02-13,109116,124190
2018-02-14,123652,131692
2018-02-15,149870,131754
2018-02-16,168721,135802
2018-02-17,162284,136800
2018-02-18,139426,134761
2018-02-19,120446,130789
2018-02-20,120113,128134
2018-02-21,126574,127933
2018-02-22,134869,129868
2018-02-23,141894,138800
2018-02-24,146430,142066
2018-02-25,144714,137554
2018-02-26,139433,130089
2018-02-27,135408,129991
2018-02-28,135772,120201
2018-03-01,127659,131379
2018-03-02,135454,135588
2018-03-03,137330,142906
2018-03-04,122364,144085
2018-03-05,108398,125851
2018-03-06,105525,129778
2018-03-07,104965,127252
2018-03-08,107090,128756
2018-03-09,117915,135810
2018-03-10,129756,140837
2018-03-11,128090,136416
2018-03-12,120292,133015
2018-03-13,118352,134090
2018-03-14,121380,139408
2018-03-15,129706,138751
2018-03-16,137312,138918
2018-03-17,148092,142110
2018-03-18,144942,140995
2018-03-19,137375,132626
2018-03-20,130914,125663
2018-03-21,134866,124155
2018-03-22,145498,131644
2018-03-23,153615,138753
2018-03-24,159324,144489
2018-03-25,154480,140697
2018-03-26,147707,135950
2018-03-27,145198,134004
2018-03-28,148736,137332
2018-03-29,154574,140189
2018-03-30,160800,145131
2018-03-31,164826,149341
2018-04-01,123154,145620
2018-04-02,117229,139924
2018-04-03,119014,136648
2018-04-04,125909,139372
2018-04-05,134344,142670
2018-04-06,143654,134303
2018-04-07,148351,140826
2018-04-08,142684,140249
2018-04-09,135384,136650
2018-04-10,133886,139085
2018-04-11,139870,138750
2018-04-12,145820,139590
2018-04-13,154060,146151
2018-04-14,156852,144418
2018-04-15,150636,138668
2018-04-16,141362,134721
2018-04-17,137823,134336
2018-04-18,141365,134961
2018-04-19,148092,139274
2018-04-20,156688,146573
2018-04-21,162158,151020
2018-04-22,152736,145939
2018-04-23,141480,132419
2018-04-24,141078,127288
2018-04-25,148376,135689
2018-04-26,157892,139580
2018-04-27,167618,145442
2018-04-28,170492,149077
2018-04-29,166796,145544
2018-04-30,156457,140879
2018-05-01,128594,138916
2018-05-02,123560,137006
2018-05-03,126024,138997
2018-05-04,139538,145546
2018-05-05,153584,152939
2018-05-06,154287,143760
2018-05-07,137851,136133
2018-05-08,124758,135395
2018-05-09,121992,137523
2018-05-10,131184,140485
2018-05-11,140396,147256
2018-05-12,141484,155317
2018-05-13,136829,135431
2018-05-14,134768,140282
2018-05-15,138016,140377
2018-05-16,143524,144557
2018-05-17,147116,149587
2018-05-18,151210,149865
2018-05-19,157052,149531
2018-05-20,160800,143842
2018-05-21,155491,139369
2018-05-22,144266,137818
2018-05-23,132562,136953
2018-05-24,134036,142683
2018-05-25,143196,148540
2018-05-26,150944,148552
2018-05-27,148190,145993
2018-05-28,142674,140251
2018-05-29,143700,137881
2018-05-30,148344,142269
2018-05-31,149530,142826
2018-06-01,131852,149976
2018-06-02,136892,154107
2018-06-03,136154,148771
2018-06-04,129206,143950
2018-06-05,131912,132866
2018-06-06,137165,141884
2018-06-07,134578,145379
2018-06-08,136101,149733
2018-06-09,146590,153334
2018-06-10,140486,147533
2018-06-11,133136,136028
2018-06-12,131828,139109
2018-06-13,135734,141044
2018-06-14,134456,145906
2018-06-15,139650,150602
2018-06-16,149482,152324
2018-06-17,144000,147123
2018-06-18,138068,144007
2018-06-19,136752,135514
2018-06-20,142457,142664
2018-06-21,147836,145994
2018-06-22,153930,152334
2018-06-23,158095,154949
2018-06-24,155456,151090
2018-06-25,154007,145273
2018-06-26,154231,147019
2018-06-27,156786,144562
2018-06-28,156107,141766
2018-06-29,154242,152027
2018-06-30,148603,147111
2018-07-01,113981,153529
