year,avgTemp,minTemp,maxTemp,rainFall,avgVisitor(10000),ID
2018-01-01,6.4,4,8.8,0,13.5138,20180101
2018-01-02,7,3,10.1,0,12.5122,20180102
2018-01-03,5,3.5,8.4,0,12.207,20180103
2018-01-04,3.9,2.4,4.6,0.6,12.3266,20180104
2018-01-05,5.1,1.9,6.5,4.2,12.6084,20180105
2018-01-06,6.2,4.8,8.7,0,12.9745,20180106
2018-01-07,8.5,4.4,11.5,3.6,12.4834,20180107
2018-01-08,8.7,6.1,11.3,4.1,12.4999,20180108
2018-01-09,4.9,2.8,7,0.4,12.587,20180109
2018-01-10,2.4,-0.5,5.9,3.4,12.5548,20180110
2018-01-11,0,-2.2,1.7,8.3,11.173,20180111
2018-01-12,0.7,-2.3,2.3,1.8,12.7449,20180112
2018-01-13,4.5,1.4,6.9,0,13.3861,20180113
2018-01-14,7.8,3.1,12.9,0,13.7372,20180114
2018-01-15,10.8,7.8,14.4,0,13.8201,20180115
2018-01-16,12.1,8.7,14.4,16.5,13.7172,20180116
2018-01-17,9.5,8.5,11.5,3.8,14.0035,20180117
2018-01-18,8.9,6.3,10.8,0,14.3686,20180118
2018-01-19,6.8,4.3,9.4,0,14.6783,20180119
2018-01-20,6.1,2.8,9.9,0,15.4256,20180120
2018-01-21,8.5,3.9,11.4,0,15.1148,20180121
2018-01-22,9,7.1,10.9,0.7,14.7374,20180122
2018-01-23,2.1,0,7.6,0.3,14.6104,20180123
2018-01-24,-1.2,-2.4,1.2,4.5,14.806,20180124
2018-01-25,-1.9,-2.6,-1.2,0,15.147,20180125
2018-01-26,-1.3,-2.1,-0.4,0.1,15.2887,20180126
2018-01-27,0.9,-1.6,3.6,0,15.792,20180127
2018-01-28,2.6,0.5,4.6,2,15.4836,20180128
2018-01-29,1.8,-0.1,4,1.7,14.9205,20180129
2018-01-30,2.2,-0.2,4.1,1.5,14.2912,20180130
2018-01-31,3.8,2.1,5,0.5,14.0402,20180131
2018-02-01,4.5,3.2,6.8,0,10.963,20180201
2018-02-02,3.8,1.6,6.1,0,11.3365,20180202
2018-02-03,1.4,-0.7,4.9,1.1,11.4303,20180203
2018-02-04,-0.4,-2.3,0.8,5.9,10.4002,20180204
2018-02-05,0.2,-1.7,2.6,3.5,10.0712,20180205
2018-02-06,-0.6,-2.5,0.8,5.7,9.2046,20180206
2018-02-07,0.6,-1.3,1.9,1.7,10.1804,20180207
2018-02-08,2.5,-0.7,6.8,3.1,9.8654,20180208
2018-02-09,6,1.4,11.2,0,10.5654,20180209
2018-02-10,5.8,2.7,7.9,2.2,10.8955,20180210
2018-02-11,2.5,1,5.4,0.8,10.6606,20180211
2018-02-12,2.7,-0.1,4.1,0,10.3954,20180212
2018-02-13,4.9,2.7,8.3,0,10.9116,20180213
2018-02-14,9.8,2.5,15.4,0,12.3652,20180214
2018-02-15,7.1,4.6,10.5,0,14.987,20180215
2018-02-16,6.1,3.9,9.7,0,16.8721,20180216
2018-02-17,4.4,2.8,7.5,0,16.2284,20180217
2018-02-18,6.7,1.7,10.2,0.9,13.9426,20180218
2018-02-19,8.3,5.5,10.5,2.1,12.0446,20180219
2018-02-20,8.4,4.6,11.9,0,12.0113,20180220
2018-02-21,5.5,4.2,7.5,0,12.6574,20180221
2018-02-22,5,3.2,7.6,0,13.4869,20180222
2018-02-23,8.7,3.3,13.1,0,14.1894,20180223
2018-02-24,9.4,5.3,13.3,0,14.643,20180224
2018-02-25,9.8,6.7,13.2,0,14.4714,20180225
2018-02-26,8.1,4.2,11.9,0,13.9433,20180226
2018-02-27,10.6,5.8,15,0,13.5408,20180227
2018-02-28,11,6.9,17.5,59.6,13.5772,20180228
2018-03-01,6.8,3.3,10.5,0,12.7659,20180301
2018-03-02,5.7,2.8,9.1,0,13.5454,20180302
2018-03-03,12,6,19.2,0,13.733,20180303
2018-03-04,17.2,10.9,23.2,0.8,12.2364,20180304
