year,avgTemp,minTemp,maxTemp,rainFall,Visitor
2018-01-01,6.4,4,8.8,0,135138
2018-01-02,7,3,10.1,0,125122
2018-01-03,5,3.5,8.4,0,122070
2018-01-04,3.9,2.4,4.6,0.6,123266
2018-01-05,5.1,1.9,6.5,4.2,126084
2018-01-06,6.2,4.8,8.7,0,129745
2018-01-07,8.5,4.4,11.5,3.6,124834
2018-01-08,8.7,6.1,11.3,4.1,124999
2018-01-09,4.9,2.8,7,0.4,125870
2018-01-10,2.4,-0.5,5.9,3.4,125548
2018-01-11,0,-2.2,1.7,8.3,111730
2018-01-12,0.7,-2.3,2.3,1.8,127449
2018-01-13,4.5,1.4,6.9,0,133861
2018-01-14,7.8,3.1,12.9,0,137372
2018-01-15,10.8,7.8,14.4,0,138201
2018-01-16,12.1,8.7,14.4,16.5,137172
2018-01-17,9.5,8.5,11.5,3.8,140035
2018-01-18,8.9,6.3,10.8,0,143686
2018-01-19,6.8,4.3,9.4,0,146783
2018-01-20,6.1,2.8,9.9,0,154256
2018-01-21,8.5,3.9,11.4,0,151148
2018-01-22,9,7.1,10.9,0.7,147374
2018-01-23,2.1,0,7.6,0.3,146104
2018-01-24,-1.2,-2.4,1.2,4.5,148060
2018-01-25,-1.9,-2.6,-1.2,0,151470
2018-01-26,-1.3,-2.1,-0.4,0.1,152887
2018-01-27,0.9,-1.6,3.6,0,157920
2018-01-28,2.6,0.5,4.6,2,154836
2018-01-29,1.8,-0.1,4,1.7,149205
2018-01-30,2.2,-0.2,4.1,1.5,142912
2018-01-31,3.8,2.1,5,0.5,140402
2018-02-01,4.5,3.2,6.8,0,109630
2018-02-02,3.8,1.6,6.1,0,113365
2018-02-03,1.4,-0.7,4.9,1.1,114303
2018-02-04,-0.4,-2.3,0.8,5.9,104002
2018-02-05,0.2,-1.7,2.6,3.5,100712
2018-02-06,-0.6,-2.5,0.8,5.7,92046
2018-02-07,0.6,-1.3,1.9,1.7,101804
2018-02-08,2.5,-0.7,6.8,3.1,98654
2018-02-09,6,1.4,11.2,0,105654
2018-02-10,5.8,2.7,7.9,2.2,108955
2018-02-11,2.5,1,5.4,0.8,106606
2018-02-12,2.7,-0.1,4.1,0,103954
2018-02-13,4.9,2.7,8.3,0,109116
2018-02-14,9.8,2.5,15.4,0,123652
2018-02-15,7.1,4.6,10.5,0,149870
2018-02-16,6.1,3.9,9.7,0,168721
2018-02-17,4.4,2.8,7.5,0,162284
2018-02-18,6.7,1.7,10.2,0.9,139426
2018-02-19,8.3,5.5,10.5,2.1,120446
2018-02-20,8.4,4.6,11.9,0,120113
2018-02-21,5.5,4.2,7.5,0,126574
2018-02-22,5,3.2,7.6,0,134869
2018-02-23,8.7,3.3,13.1,0,141894
2018-02-24,9.4,5.3,13.3,0,146430
2018-02-25,9.8,6.7,13.2,0,144714
2018-02-26,8.1,4.2,11.9,0,139433
2018-02-27,10.6,5.8,15,0,135408
2018-02-28,11,6.9,17.5,59.6,135772
2018-03-01,6.8,3.3,10.5,0,127659
2018-03-02,5.7,2.8,9.1,0,135454
2018-03-03,12,6,19.2,0,137330
2018-03-04,17.2,10.9,23.2,0.8,122364
2018-03-05,10.4,8.2,21.7,3.9,108398
2018-03-06,9.6,8.2,11.3,0,105525
2018-03-07,10,8.4,11.6,30.1,104965
2018-03-08,6.8,5.1,8.6,18.2,107090
2018-03-09,5.6,4.2,7.8,0,117915
2018-03-10,8.1,4.3,11.5,0,129756
2018-03-11,8.7,5.1,12.1,0,128090
2018-03-12,11.2,7,15.3,0,120292
2018-03-13,14.7,9.6,19.2,0,118352
2018-03-14,16.9,12.5,20.3,0,121380
2018-03-15,17.1,12,21.7,16,129706
2018-03-16,9.5,8.8,12.1,1.9,137312
2018-03-17,10,7.3,13.8,0,148092
2018-03-18,15.2,7.8,22.3,3.1,144942
2018-03-19,12.6,10.1,16.2,8.7,137375
2018-03-20,8.3,6.5,10.2,14.1,130914
2018-03-21,5.4,4.2,6.6,21.2,134866
2018-03-22,7.3,5.3,10.4,0,145498
2018-03-23,8.6,4.6,11.9,0,153615
2018-03-24,12.2,7.7,16.5,0,159324
2018-03-25,13.2,9.6,16.9,0,154480
2018-03-26,13.7,9.7,17,0,147707
2018-03-27,14.8,10.3,19.1,0,145198
2018-03-28,15.1,9.5,19.1,0,148736
2018-03-29,15.6,12,19.3,0,154574
2018-03-30,15.5,13.5,18.9,0,160800
2018-03-31,17,13.3,21,0,164826
2018-04-01,18,15.2,21.3,0,123154
2018-04-02,18,15.3,21.3,0,117229
2018-04-03,17.7,15.3,21.5,0,119014
2018-04-04,17.6,15.8,20.6,0.2,125909
2018-04-05,17.9,14.4,21.3,0,134344
2018-04-06,11,8.1,18.2,20,143654
2018-04-07,7.8,5.3,9.8,0,148351
2018-04-08,12.5,7,16.4,0,142684
2018-04-09,14.3,12.6,16.3,0,135384
2018-04-10,18.8,12.5,22.3,0,133886
2018-04-11,17.2,13.6,21.2,0,139870
2018-04-12,17,13.1,23.5,0,145820
2018-04-13,16.4,14.3,19.5,0,154060
2018-04-14,15.2,10.2,22.9,3.7,156852
2018-04-15,11.9,9.6,15.7,0,150636
2018-04-16,12.2,8.5,14.6,0,141362
2018-04-17,14.5,12.3,16.6,0,137823
2018-04-18,13.6,10.7,17.3,0,141365
2018-04-19,15.2,9.2,20.3,0,148092
2018-04-20,16.6,12.1,20.3,0,156688
2018-04-21,17.4,13.2,19.5,0,162158
2018-04-22,20.4,17.3,25.2,5.2,152736
2018-04-23,18.5,16.1,21.8,41.8,141480
2018-04-24,14.7,13.6,16.4,38.7,141078
2018-04-25,14.6,12.6,17.8,1.7,148376
