year,avgTemp,minTemp,maxTemp,rainFall,history
2015-01-01,3.3,1.7,5.4,4.2,30
2015-01-02,6.1,3.9,8.5,0,35
2015-01-03,6.8,3.5,9.6,0,35
2015-01-04,11.5,7.7,15,0,45
2015-01-05,12.9,6.8,17.5,0.7,20
2015-01-06,7.8,3.9,17.2,0.2,13
2015-01-07,4.7,3.4,5.8,0,11
2015-01-08,6.3,5.1,7.6,0,8
2015-01-09,8,6.5,10,0,14
2015-01-10,8.6,6.5,11,0,25
2015-01-11,8.5,5.4,12.1,0,30
2015-01-12,4.9,3.8,7.9,0,18
2015-01-13,9.7,4.2,13.7,0,9
2015-01-14,9.3,8.7,10.7,37.4,15
2015-01-15,8.4,5.9,10.9,0,21
2015-01-16,7.7,5.3,9.4,0.1,23
2015-01-17,5,2.7,8,0,26
2015-01-18,6,1.2,10.1,0,32
2015-01-19,8.5,5.9,11,0,20
2015-01-20,6.9,3.7,9.7,0,12
2015-01-21,9.2,7.8,10.6,5.8,4
2015-01-22,7.6,6.5,9,4.7,18
2015-01-23,6.9,5.4,9.9,0,17
2015-01-24,8,5,11,0,38
2015-01-25,11.6,6.9,15.8,9.2,27
2015-01-26,10.3,7.4,13.6,0,23
2015-01-27,5.6,3.3,7.6,0,19
2015-01-28,4.5,3.2,6.4,0,23
2015-01-29,6.8,4.8,8.1,19.1,11
2015-01-30,5,3.6,6.7,1,21
2015-01-31,3.4,2.7,5.1,0,31
2015-02-01,4.1,0.6,7.7,0,25
2015-02-02,6,4.3,9.3,0,13
2015-02-03,6.2,2.8,9.6,0,8
2015-02-04,6.8,6,7.4,0,9
2015-02-05,5.5,3.1,6.9,0.3,3
2015-02-06,6.1,5,7.8,0,7
2015-02-07,8,5.8,9.7,0.1,17
2015-02-08,1.7,-0.7,8.8,0.1,17
2015-02-09,1.8,-0.3,3.6,0.4,10
2015-02-10,7.1,2.5,9.4,0,21
2015-02-11,8.9,5.8,12.3,0,17
2015-02-12,7,4.6,10,0,17
2015-02-13,4.7,3.3,8.1,0,15
2015-02-14,8.4,3.1,14.4,0,23
2015-02-15,12.5,9,14.9,12.8,21
2015-02-16,11.8,9.8,14.4,3,25
2015-02-17,8.3,7.3,10,0,15
2015-02-18,6.5,5.5,7.4,0,20
2015-02-19,5.7,4,8.9,0,57
2015-02-20,9.3,3.1,14.9,0,55
2015-02-21,11.9,9,17.3,5.5,37
2015-02-22,8.7,6.5,10.8,0.3,22
2015-02-23,6.9,5.4,9.8,0,27
2015-02-24,7.9,5.9,10.9,0,22
2015-02-25,10.3,6.8,12.7,0,28
2015-02-26,8.8,4.9,11.6,0,22
2015-02-27,4.2,3.7,5.4,0,38
2015-02-28,7.9,4.1,9.8,13,29
2015-03-01,7.3,5.9,9.2,2.6,24
2015-03-02,7,3.4,10.1,0,10
2015-03-03,8.4,6.8,10.1,1.3,12
2015-03-04,4,3.2,6.8,0,27
2015-03-05,5.4,2.8,7.1,0,14
2015-03-06,8,6.3,9.3,1.5,6
2015-03-07,9.3,6.3,12.1,0,17
2015-03-08,10.7,4,16.1,0,26
2015-03-09,7.6,2,11.6,9.5,25
2015-03-10,2.9,0.2,4.1,0.2,11
2015-03-11,7,3.3,9.7,0,14
2015-03-12,8.3,6.2,11.3,0,14
2015-03-13,11.5,4.7,17.7,0,14
2015-03-14,10.3,8.7,12.2,0,40
2015-03-15,10.8,7.8,14,0,49
2015-03-16,13.5,9.9,17.1,0,23
2015-03-17,15.7,11.1,19.6,0,21
2015-03-18,17.1,13.9,20.6,60.5,6
2015-03-19,12.8,11.5,14.8,4.2,18
2015-03-20,12.9,11.3,16.5,0.2,34
2015-03-21,13.8,10.9,17.5,0,52
2015-03-22,12.3,9,16.5,0,37
2015-03-23,9.1,6.7,11.7,0,29
2015-03-24,8.5,6,12,0,17
2015-03-25,8.6,4.3,12.9,0,18
2015-03-26,9.8,5.1,14.5,0,23
2015-03-27,10.9,7.5,13.9,0,22
2015-03-28,12.8,10.2,15.7,0,48
2015-03-29,13.5,10.3,16.7,0,44
2015-03-30,14,10.7,17.9,0,33
2015-03-31,18.1,14.9,22.2,0.7,15
2015-04-01,15.4,14,19,0,31
2015-04-02,20.2,14,27.7,0.9,23
2015-04-03,12.6,10,22.1,7.8,35
2015-04-04,14.4,10,17.4,10.5,35
2015-04-05,13.2,12.3,14.4,3.9,36
2015-04-06,12.1,10,13.3,36.6,15
2015-04-07,10.3,8.7,12.6,0,27
2015-04-08,11,8.8,14.4,0,29
2015-04-09,12.1,9.3,14.5,0,28
2015-04-10,12.8,10.6,15.2,0,41
2015-04-11,13.5,9.5,17.6,0,53
2015-04-12,13.5,11.7,18.4,15.6,47
2015-04-13,12.1,8.9,14.5,15.1,27
2015-04-14,10.1,7,14.2,2.5,24
2015-04-15,15.6,10.1,20.3,0,32
2015-04-16,17.3,13.1,24.9,0,26
2015-04-17,14.1,10.1,18,0,35
2015-04-18,17.9,13,24.1,27.9,22
2015-04-19,18.5,15.5,23.9,10.3,39
2015-04-20,12.9,12,15.5,2.9,24
2015-04-21,14.2,12.5,17.5,0,39
2015-04-22,15.5,11.1,21.2,0,38
2015-04-23,15.5,11.8,19.2,0,34
2015-04-24,17.3,13.4,22,0,32
2015-04-25,17.2,13.6,23.6,0,37
2015-04-26,18.8,14.1,23.1,0,46
2015-04-27,19.5,14.9,23.1,0,24
2015-04-28,20.7,17.9,25.3,1,23
2015-04-29,17.7,15.4,22.1,3.8,20
2015-04-30,16.4,15.3,18.2,9.1,33
2015-05-01,18,15.5,21.4,0,47
2015-05-02,18.3,14.5,23.2,24.8,47
2015-05-03,18.1,14.8,22,6.7,69
2015-05-04,16.5,13.3,21.7,0,68
2015-05-05,14.8,11,18.5,0,69
2015-05-06,15.3,13.2,17.8,0,50
2015-05-07,17.2,13.2,21.7,0,32
2015-05-08,17.7,14.5,20.8,0,25
2015-05-09,17.5,15,20.7,1.9,46
2015-05-10,18,14.7,23,0,40
2015-05-11,19.8,15.9,23.1,69.3,25
